,t,x,y,u0,u1
96,24,0.35,0.2,6.407960908360483e-06,-2.13449882662102e-05
97,24,0.3,0.25,0.0018748028750228674,-0.017715808763755274
98,24,0.3,0.15000000000000002,0.0034747221997007815,0.02182423533494419
99,24,0.25,0.2,1.0126973664641806e-05,2.0452469363913262e-05
100,25,0.35,0.2,7.412823951474613e-06,-1.879524853419216e-05
101,25,0.3,0.25,0.001618614496583096,-0.01532725757623704
102,25,0.3,0.15000000000000002,0.0030193087553226578,0.018997293403284786
103,25,0.25,0.2,1.0843639459229894e-05,1.814111073431547e-05
104,26,0.35,0.2,8.285687809711571e-06,-1.655338004270797e-05
105,26,0.3,0.25,0.0013981332477010849,-0.013260658543719089
106,26,0.3,0.15000000000000002,0.0026241582057407163,0.016536235799113914
107,26,0.25,0.2,1.1465138838156872e-05,1.610810507827322e-05
108,27,0.35,0.2,9.04401747779014e-06,-1.4582362362358132e-05
109,27,0.3,0.25,0.0012081700808325216,-0.011472654531386543
110,27,0.3,0.15000000000000002,0.0022810644803718506,0.01439378877708908
111,27,0.25,0.2,1.2004286374373895e-05,1.432004550709559e-05
112,28,0.35,0.2,9.702924133805863e-06,-1.2849652607769862e-05
113,28,0.3,0.25,0.0010443552700832833,-0.009925709226472712
114,28,0.3,0.15000000000000002,0.0019830123705174133,0.012528756474272913
115,28,0.25,0.2,1.2472113139214902e-05,1.2747571082537459e-05
116,29,0.35,0.2,1.0275496642160073e-05,-1.132662166999431e-05
117,29,0.3,0.25,0.0009029895778140341,-0.008587333532126547
118,29,0.3,0.15000000000000002,0.0017239819117580491,0.010905251014210726
119,29,0.25,0.2,1.287813367907962e-05,1.1364851243712146e-05
120,30,0.35,0.2,1.0773083414490708e-05,-9.988071547396683e-06
121,30,0.3,0.25,0.0007809278935611525,-0.007429411415626428
122,30,0.3,0.15000000000000002,0.0014987916246673757,0.009492015591047571
123,30,0.25,0.2,1.3230567806158381e-05,1.0149147572593994e-05
124,31,0.35,0.2,1.1205529034616193e-05,-8.811818198373698e-06
125,31,0.3,0.25,0.0006754869044626608,-0.006427613869157792
126,31,0.3,0.15000000000000002,0.0013029711078755147,0.00826183115331572
127,31,0.25,0.2,1.3536524917960546e-05,9.08043609349997e-06
128,32,0.35,0.2,1.1581378006723946e-05,-7.77832871103033e-06
129,32,0.3,0.25,0.0005843708493133261,-0.005560890293869786
130,32,0.3,0.15000000000000002,0.0011326562104812992,0.00719099745351701
131,32,0.25,0.2,1.3802159669317448e-05,8.141079790928224e-06
132,33,0.35,0.2,1.1908048933024996e-05,-6.870404225379056e-06
133,33,0.3,0.25,0.0005056110975341145,-0.00481102755334446
134,33,0.3,0.15000000000000002,0.0009845018759348549,0.006258879794768281
135,33,0.25,0.2,1.4032804006790995e-05,7.315543291272781e-06
136,34,0.35,0.2,1.219198441416599e-05,-6.072901880919171e-06
137,34,0.3,0.25,0.00043751646771013493,-0.004162267968609123
138,34,0.3,0.15000000000000002,0.0008556090383307125,0.005447513546776491
139,34,0.25,0.2,1.4233079152903479e-05,6.590142488458956e-06
140,35,0.35,0.2,1.2438780972912693e-05,-5.372490359232831e-06
141,35,0.3,0.25,0.0003786320082810362,-0.003600978531316301
142,35,0.3,0.15000000000000002,0.0007434628602334648,0.0047412593056108
143,35,0.25,0.2,1.440699276725461e-05,5.952824975808818e-06
144,36,0.35,0.2,1.2653300374102785e-05,-4.757434660931272e-06
145,36,0.3,0.25,0.0003277045396755633,-0.003115364559792694
146,36,0.3,0.15000000000000002,0.0006458802389365716,0.004126502352966754
147,36,0.25,0.2,1.4558020856566327e-05,5.392976514973953e-06
148,37,0.35,0.2,1.283976706563058e-05,-4.217406481856962e-06
149,37,0.3,0.25,0.0002836536650516256,-0.002695221878504218
150,37,0.3,0.15000000000000002,0.0005609649751128759,0.0035913908144597625
151,37,0.25,0.2,1.4689179316097377e-05,4.901250991066287e-06
152,38,0.35,0.2,1.3001851646185687e-05,-3.7433168860916747e-06
153,38,0.3,0.25,0.00024554725231449334,-0.0023317223684640683
154,38,0.3,0.15000000000000002,0.0004870693366369559,0.0031256075864354855
155,38,0.25,0.2,1.4803085770016234e-05,4.469420242761119e-06
156,39,0.35,0.2,1.3142744003552584e-05,-3.3271692840536113e-06
157,39,0.3,0.25,0.00021258060716982188,-0.002017228410704276
158,39,0.3,0.15000000000000002,0.0004227610004382595,0.002720171710414061
159,39,0.25,0.2,1.490201162314726e-05,4.0902411490623835e-06
160,40,0.35,0.2,1.3265216226677746e-05,-2.961929165599889e-06
161,40,0.3,0.25,0.00018405871838117743,-0.0017451323414209364
162,40,0.3,0.15000000000000002,0.0003667945503583953,0.002367265414554015
163,40,0.25,0.2,1.4987929067659322e-05,3.757339325947839e-06
164,41,0.35,0.2,1.337167762600265e-05,-2.641409225436166e-06
165,41,0.3,0.25,0.00015938107829918885,-0.001509717551828231
166,41,0.3,0.15000000000000002,0.0003180868542119191,0.0020600835183803854
167,41,0.25,0.2,1.5062549898614415e-05,3.465105816824572e-06
168,42,0.35,0.2,1.3464222017171203e-05,-2.3601684625713864e-06
169,42,0.3,0.25,0.00013802867430907052,-0.0013060383178283824
170,42,0.3,0.15000000000000002,0.00027569575769315535,0.0017927023179212277
171,42,0.25,0.2,1.512736056797274e-05,3.208605605741726e-06
172,43,0.35,0.2,1.3544669379721105e-05,-2.1134230622791304e-06
173,43,0.3,0.25,0.00011955281907036796,-0.0011298158357429978
174,43,0.3,0.15000000000000002,0.00023880162592843456,0.001559965436709241
175,43,0.25,0.2,1.5183651519487749e-05,2.9834981753018992e-06
176,44,0.35,0.2,1.3614601542051558e-05,-1.8969674442235515e-06
177,44,0.3,0.25,0.00010356554567208005,-0.0009773482793430585
178,44,0.3,0.15000000000000002,0.00020669133700457453,0.0013573844514677815
179,44,0.25,0.2,1.5232543396697713e-05,2.7859659805706896e-06
180,45,0.35,0.2,1.3675393231941445e-05,-1.7071053005640889e-06
181,45,0.3,0.25,8.973133739778888e-05,-0.0008454329872145018
182,45,0.3,0.15000000000000002,0.0001787443889854898,0.0011810523815469795
183,45,0.25,0.2,1.527500942580094e-05,2.612651986539774e-06
184,46,0.35,0.2,1.3728239509801353e-05,-1.5405879818471547e-06
185,46,0.3,0.25,7.776000023437568e-05,-0.0007312991456374545
186,46,0.3,0.15000000000000002,0.00015442083631329604,0.001027568379484921
187,46,0.25,0.2,1.5311894323898703e-05,2.4606052768750548e-06
188,47,0.35,0.2,1.3774179279228858e-05,-1.3945613088661935e-06
189,47,0.3,0.25,6.74005150054315e-05,-0.0006325495503427919
190,47,0.3,0.15000000000000002,0.00013325080780557722,0.0008939721728936273
191,47,0.25,0.2,1.5343932040966933e-05,2.327231653321746e-06
192,48,0.35,0.2,1.3814115366157335e-05,-1.266517576036983e-06
193,48,0.3,0.25,5.8435730958915655e-05,-0.0005471102227047195
194,48,0.3,0.15000000000000002,0.0001148253965081183,0.0007776869958972987
195,48,0.25,0.2,1.5371759910245575e-05,2.2102510131973285e-06
196,49,0.35,0.2,1.3848832435357485e-05,-1.1542541379208329e-06
197,49,0.3,0.25,5.0677783953516506e-05,-0.0004731868223752276
198,49,0.3,0.15000000000000002,9.878873863195526e-05,0.000676469911272482
199,49,0.25,0.2,1.5395931333245747e-05,2.1076601087202443e-06
